archive,1345,1345,3452,名詞,一般,*,*,*,*,アーカイブ,アーカイブ,アーカイブ,3/5,C1
arkansas,1353,1353,4349,名詞,固有名詞,地域,一般,*,*,アーカンソー,アーカンソー,アーカンソー,3/6,C1
argument,1345,1345,3452,名詞,一般,*,*,*,*,アーギュメント,アーギュメント,アーギュメント,1/6,C1
irk,1345,1345,3452,名詞,一般,*,*,*,*,アーク,アーク,アーク,1/3,C1
irk,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アーク,アーク,アーク,1/3,C1
arthur,1350,1350,4385,名詞,固有名詞,人名,姓,*,*,アーサー,アーサー,アーサー,1/4,C2
arthur,1351,1351,4213,名詞,固有名詞,人名,名,*,*,アーサー,アーサー,アーサー,1/4,C2
earth,1343,1343,4695,名詞,サ変接続,*,*,*,*,アース,アース,アース,1/3,C1
earth,1352,1352,5223,名詞,固有名詞,組織,*,*,*,アース,アース,アース,1/3,C1
archi,1345,1345,3507,名詞,一般,*,*,*,*,アーチ,アーチ,アーチ,1/3,C1
archery,1345,1345,3435,名詞,一般,*,*,*,*,アーチェリー,アーチェリー,アーチェリー,1/5,C1
artist,1345,1345,3452,名詞,一般,*,*,*,*,アーティスト,アーティスト,アーティスト,1/5,C1
artichoke,1345,1345,3448,名詞,一般,*,*,*,*,アーティチョーク,アーティチョーク,アーティチョーク,4/6,C1
art,1345,1345,4020,名詞,一般,*,*,*,*,アート,アート,アート,1/3,C1
art,1351,1351,5466,名詞,固有名詞,人名,名,*,*,アート,アート,アート,1/3,C1
art,1352,1352,6276,名詞,固有名詞,組織,*,*,*,アート,アート,アート,1/3,C1
ernie,1351,1351,4298,名詞,固有名詞,人名,名,*,*,アーニー,アーニー,アーニー,1/4,C2
ernest,1351,1351,4304,名詞,固有名詞,人名,名,*,*,アーネスト,アーネスト,アーネスト,1/5,C1
achen,1353,1353,4350,名詞,固有名詞,地域,一般,*,*,アーヘン,アーヘン,アーヘン,1/4,C2
arm,1345,1345,3452,名詞,一般,*,*,*,*,アーム,アーム,アーム,1/3,C1
armond,1345,1345,3452,名詞,一般,*,*,*,*,アーモンド,アーモンド,アーモンド,1/5,C1
arlington,1353,1353,4310,名詞,固有名詞,地域,一般,*,*,アーリントン,アーリントン,アーリントン,3/6,C1
earl,1345,1345,3980,名詞,一般,*,*,*,*,アール,アール,アール,1/3,C1
earl,1360,1360,8532,名詞,接尾,助数詞,*,*,*,アール,アール,アール,1/3,C1
iacocca,1350,1350,4353,名詞,固有名詞,人名,姓,*,*,アイアコッカ,アイアコッカ,アイアコッカ,4/6,C1
iron,1345,1345,3474,名詞,一般,*,*,*,*,アイアン,アイアン,アイアン,0/4,C2
iowa,1353,1353,4349,名詞,固有名詞,地域,一般,*,*,アイオワ,アイオワ,アイオワ,0/4,C2
ichor,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイコー,アイコー,アイコー,1/4,C2
icom,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイコム,アイコム,アイコム,1/4,C1
icing,1345,1345,3448,名詞,一般,*,*,*,*,アイシング,アイシング,アイシング,1/5,C1
ice,1345,1345,3943,名詞,一般,*,*,*,*,アイス,アイス,アイス,1/3,C1
icecream,1345,1345,3177,名詞,一般,*,*,*,*,アイスクリーム,アイスクリーム,アイスクリーム,5/7,C1
eicbahn,1345,1345,3452,名詞,一般,*,*,*,*,アイスバーン,アイスバーン,アイスバーン,4/6,C1
iceman,1345,1345,3335,名詞,一般,*,*,*,*,アイスマン,アイスマン,アイスマン,1/5,C1
iceland,1354,1354,3167,名詞,固有名詞,地域,国,*,*,アイスランド,アイスランド,アイスランド,4/6,C1
eisen,1345,1345,3452,名詞,一般,*,*,*,*,アイゼン,アイゼン,アイゼン,1/4,C1
idaho,1353,1353,4349,名詞,固有名詞,地域,一般,*,*,アイダホ,アイダホ,アイダホ,0/4,C1
item,1345,1345,3452,名詞,一般,*,*,*,*,アイテム,アイテム,アイテム,1/4,C1
idea,1345,1345,3452,名詞,一般,*,*,*,*,アイディア,アイディア,アイディア,3/4,C2
identity,1345,1345,3730,名詞,一般,*,*,*,*,アイデンティティー,アイデンティティー,アイデンティティー,3/7,C1
idol,1345,1345,3266,名詞,一般,*,*,*,*,アイドル,アイドル,アイドル,1/4,C1
inet,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイネット,アイネット,アイネット,3/5,C1
ivy,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイビー,アイビー,アイビー,1/4,C1
ibm,1352,1352,4087,名詞,固有名詞,組織,*,*,*,アイビーエム,アイビーエム,アイビーエム,5/6,C1
eiffel,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイフル,アイフル,アイフル,1/4,C1
ivory,1345,1345,3452,名詞,一般,*,*,*,*,アイボリー,アイボリー,アイボリー,1/5,C1
irene,1351,1351,4304,名詞,固有名詞,人名,名,*,*,アイリーン,アイリーン,アイリーン,3/5,C1
iris,1345,1345,3452,名詞,一般,*,*,*,*,アイリス,アイリス,アイリス,1/4,C1
iris,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイリス,アイリス,アイリス,1/4,C1
ireland,1354,1354,4029,名詞,固有名詞,地域,国,*,*,アイルランド,アイルランド,アイルランド,4/6,C1
irony,1345,1345,3448,名詞,一般,*,*,*,*,アイロニー,アイロニー,アイロニー,1/5,C1
einstein,1350,1350,4353,名詞,固有名詞,人名,姓,*,*,アインシュタイン,アインシュタイン,アインシュタイン,5/7,C1
auschwitz,1353,1353,4328,名詞,固有名詞,地域,一般,*,*,アウシュビッツ,アウシュビッツ,アウシュビッツ,4/6,C1
outs,1345,1345,10000,名詞,一般,*,*,*,*,アウツ,アウツ,アウツ,1/3,*
out,1345,1345,4672,名詞,一般,*,*,*,*,アウト,アウト,アウト,1/3,C1
